id_product,product_name,description
72,Aerie Thong,"Oh happy day…Comfy, o-so-cute & total cheek! Everyday, loves: Listen to your heart. Get comfy. Be happy...& happiness is comfy cotton and total cheek! style: 5441-5351 | color: 184 Comfy, stretchy cotton Undies: the REAL way to say panties. Simply sexy solid colors Wide lace waistband We call them favorites for a reason Low rise Total cheek! 93% Cotton, 7% Spandex Machine Wash Imported read more read less"
73,Aerie Logo Boybrief,"Better than the boys’… It all started with a boybrief: our original fit! 10 years later, it’s still our #1 fit. style: 6441-5100 | color: 100 Comfy, stretchy cotton Signature logo waistband We call them favorites for a reason Undies: the REAL way to say panties. Low rise 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
74,Aerie Thong,"Total cheek! The soft and comfy cotton you love in the fit you go to. style: 5442-5326 | color: 389 Comfy, stretchy cotton Low rise Total cheek! Aerie undies: Your panty drawer just got REAL. 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
75,Aerie Boybrief,"We'll keep this brief. It all started with a boybrief: our original fit! 10 years later, it’s still our #1 fit. style: 6441-5125 | color: 030 Comfy, stretchy cotton Aerie undies: your panty drawer just got REAL! Everyday Loves Collection Pretty bow at front Binding at waist & leg openings We call them favorites for a reason Low rise 95% Cotton, 5% Spandex Machine Wash Imported read more read less"
76,Aerie Mesh Thong,"Total cheek! Shine on in the total cheek! fit that's all about comfy. style: 5772-6101 | color: 887 Soft mesh Low rise Total cheek! Wide lace waistband Aerie undies: Your panty drawer just got REAL. 88% Nylon, 12% Elastane Machine Wash Imported read more read less"
77,Aerie Boyshort,"Boy oh boy! The soft and comfy cotton you love in the fit you go to. style: 8442-5403 | color: 461 Comfy, stretchy cotton Aerie undies: Your panty drawer just got REAL. V-back detail Low rise No cheek peek 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
78,Aerie Logo Boybrief,"Our #1 fit. It all started with a boybrief: our original fit! 10 years later, it’s still our #1 fit. style: 6443-5100 | color: 609 Comfy, stretchy cotton Low rise Logo elastic waistband Aerie undies: Your panty drawer just got REAL. 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
79,Aerie Lace Sunnie Boybrief,"We're serious about soft. The Real Soft® fabric you love in our no. 1 fit. style: 1773-5901 | color: 536 Real Soft® fabric Aerie undies: Your panty drawer just got REAL. Lace trim Low rise No cheek peek 72% Nylon, 28% Spandex Machine Wash Imported read more read less"
80,Aerie Cheeky,"Celebrate the cheek peek! Everyday, loves: Listen to your heart. Get comfy. Be happy. style: 7441-5361 | color: 073 Comfy, stretchy cotton Panties, underwear, lingerie… Get real. It’s all undies for us! Lace trim waist & leg openings Front bow We call them favorites for a reason Low rise More cheek peek 95% Cotton, 5% Spandex Machine Wash Imported read more read less"
81,Aerie Boyshort,"Boy oh boy! The soft and comfy cotton you love in the fit you go to. style: 8442-5447 | color: 410 Comfy cotton Low rise No cheek peek Wide lace waistband Pretty bow at front Lace at leg openings Aerie undies: Your panty drawer just got REAL! 95% Cotton, 5% Elastane Imported read more read less"
