id_product,product_name,description
533,Satin Bralet,"Set of balcony bra with light pads and underwired cups and high rise knickers with full coverage. 95% Polyester, 5% Elastane. Machine wash."
534,Jersey and Mesh Bralet,"We love the sporty style of this coral bralet with non-padded cups to support a natural shape. 89% Polyamide, 11% Elastane. Machine wash."
535,Pretty Lace Thong,"Low rise lace thong. 89% Nylon, 11% Elastane. Machine wash."
536,Contrast Waist Thongs,"Pale blue lacey thongs with contrast waistband and strappy detail. 66% Polyamide, 22% Viscose, 12% Elastane. Machine wash."
537,Laura Mini Knickers by Bluebella,"Black mesh and satin mini knickers by Bluebella with gold metal detail. 90% Polyamide, 10% Elastane. Machine wash."
538,Applique Jersey Triangle Bra,"Non-padded triangle bra with non-wired cups for a barely there, natural shape. 95% Viscose, 5% Elastane. Machine wash."
539,Laura Body by Bluebella,"Lend your base layers a luxe feel with this black plunge body by Bluebella. We love the sultry effect of the mesh panels to the sides. 90% Polyamide, 10% Elastane. Machine wash."
540,Sporty Thong,"Bright coral sporty thong. 85% Polyamide,14% Elastane,1% Polyester. Machine wash."
541,Colourblock Mini Knickers,"Plum and navy colourblock sporty mini knickers. 85% Polyamide, 15% Elastane. Machine wash."
542,Yasallie Bra by Yas,"Roséfarbener BH von Yas. 90 % Polyamid, 10 % Elastan. Maschinenwäsche."
543,Embellished Underwire Bra,"Embellished underwire bra and applique thong set. 89% Polyamide,11% Elastane. Machine wash."
544,Eyelash Lace Plunge Bra,"Invest in a luxe piece for your lingerie drawer with this lightly padded bra in eyelash lace, with a plunging neckline and underwired cups for added support. 88% Polyamide, 12% Elastane. Machine wash."
545,Pretty Lace Padded Triangle Bra,"Lightly padded triangle bra with non-wired cups for a barely there, natural shape. 89% Polyester, 11% Elastane. Machine wash."
546,Satin Brazilian Knickers,"Khaki satin brazillian pant 89% Polyamide,11% Elastane. Machine washable."
547,Burnout Lace Thongs,"Look to luxe lace to elevate your underwear collection in this white pair of low-rise thongs in burnout lace detail. 73% Viscose, 22% Polyester, 5% Elastane. Machine wash."
548,Embroidered Mini Knickers,"Nude mesh mini knickers with embroidery detail. 89% Polyamide, 11% Elastane. Machine wash."
549,Floral Microfibre Thong,"Keep comfy in this low rise pale blue microfibre thong. Comes with a lace trim. 86% Polyamide,14% Elastane. Machine wash."
550,3 Pack Thongs,"Pack of 3 basic thongs in three colours; black, light blue and coral. 49% Nylon, 39% Polyester, 12% Elastane. Machine wash."
