id_product,product_name,description
224,Stars & Stripes Brazilian Bikini,Perfectly Patriotic.
225,Block Print Original Rise Thong,Black and white is always right.
226,Alexandra Bralette,For the love of lace.
227,Queen Anne’s Lace Bralette,Fit for a queen.
228,Cigarette Girl Chemise,A classic piece never goes out of style.
229,"3 Pack of BARE ""Eve"" Natural Rise Thongs",Truly-- what to wear when you want to look BARE®.
230,Sophia Lace Bikini,Wisdom & Beauty
231,Bellisima V-Front Cami,A floral beauty.
232,"Venise BARE ""Eve"" Natural Rise Thong","The luxurious look of lace, the naked feel of BARE."
233,Organic Cotton Boyshort with Contrast Trim,Our Hanky Panky boyshort in Organic Cotton with Contrast Trim.
234,Sophisticat Retro Thong,The Essential Leopard Print
235,Modal Classic Cami,Our Modal Classic Cami is cute and comfortable!
236,Logo to Go Modal Low Rise Thong,The Name on Everyone's Hips®.
237,Moody Blooms Boyshort,Full Blooms
238,Signature Lace V-Front Cami,This cami is exactly what you’ve been asking for.
239,Heather Natural Rise Thong,"Our newest active-inspired collection can take you from barre to brunch, and everywhere in-between."
240,Serpentine Racerback Bodysuit,Slithering snake.
241,Signature Lace Glam Bra Cami,You'll love this supportive camisole.
242,Wink Brazilian Bikini,Wink wink.
243,Signature Lace Melanie Bra,The comfortable underwire bra you’ve been waiting for.
244,Bellisima Betty Brief,A floral beauty.
245,3 Pack Organic Cotton Original Rise Thongs with Lace,"Trimmed in our beloved signature stretch lace, our Cotton with a Conscience® styles will keep you feeling cool, comfortable and sexy too!"
246,La Fée Hipster,Fairy of the night.
247,All Tied Up Side-Tie Thong,All Tied Up in ribbons and lace.
248,Hot Dot Back Tie Bodysuit,Feel the heat in Hot Dot.
249,Capri Bloom Retro Thong,Island hopping.
250,40th Anniversary Hanky Brazilian Bikini,"Styles inspired by Gale Epstein's original handkerchief lingerie designs from 1977, expertly crafted in New York from vintage hand-embroidered handkerchiefs."
251,Sophia Lace Babydoll with G-String,Wisdom & Beauty
252,Rolled Capri Bloom Boyshort,Island hopping.
253,Luxe Lace Open Bralette,Feel luxurious in Luxe Lace.
254,Annabelle Leg Garter with Gift Box,Annabelle brings the perfect touch of blue to your big day.
255,Serena Seamed Bralette,Sporty Chic
256,Signature Lace V-kini,The perfect full coverage panty for your lingerie drawer.
257,Bermuda Nights Ali Crop,Tropical brights.
258,Zip Me Down Bralette,Zip it good
259,Leopard Nouveau Crotchless Low Rise Thong,"A skimpier, crotchless version of our low rise thong in our racy Leopard Nouveau print with a scintillating opening that leaves little to the imagination."
260,Retro Lace Bralette with Mesh,This hot commodity will have you turning up the heat in no time.
261,Aphrodite Babydoll with G-String,Fit for a goddess.
262,Signature Lace Tie Bralette,"Play ""peek-a-boo"" in this racy bralette."
263,40th Anniversary Cotton Chemise,"It all started as a gift…In 1977 designer Gale Epstein created and bra and panty set out of hand-embroidered handkerchiefs as a birthday gift for her friend, Lida Orzeck. Inspired by this ingenious concept, the friends became business partners and named their new company after the original design, Hanky Panky."
264,Silky High Rise Panty,"Hanky Panky Silky is the ideal fabric for underpinnings. Made from a naturally hydrophilic filament rayon Lycra® spandex blend, it resists generating static, as compared to synthetic fibers."
265,Capri Bloom Retro Bralette,Island hopping.
266,Modal Sleep Set,Sleepy time happiness.
267,Sophisticat Retro Bralette,The Essential Leopard Print.
268,Leopard Nouveau *Plus Size* Original Rise Thong,You'll want to be spotted in Leopard Nouveau.
269,Leopard Nouveau Original Rise Thong,You'll want to be spotted in Leopard Nouveau.
270,Rosalyn Leg Garter,Our Rosalyn garter might be too pretty to toss!
271,Rolled Heather Jersey Original Rise Thong,Stay cozy in Heather.
272,Leopard Nouveau Signature Lace Crotchless Teddy,Our racy Leopard Nouveau.  
273,Silky *Plus Size* 17” Shorts,"Hanky Panky Silky is the ideal fabric for underpinnings. Made from a naturally hydrophilic filament rayon Lycra® spandex blend, it resists generating static, as compared to synthetic fibers."
274,Silky 26” A-line Half Slip,"Hanky Panky Silky is the ideal fabric for underpinnings. Made from a naturally hydrophilic filament rayon Lycra® spandex blend, it resists generating static, as compared to synthetic fibers."
275,Mesh Bow Bikini,Bow Tied in airy stretch mesh.
276,Signature Lace Classic Camisole,Our most popular top is great for layering or on its own!
277,Cross-Dyed *Plus Size* Chemise,Scalloped lace and color contrast make this delicate chemise a true beauty.
278,Bellisima Cropped Cami,A floral beauty.
279,Leopard Nouveau Signature Lace *Plus Size* Crotchless Teddy,Racy Leopard Nouveau print crotchless thong-back teddy with functional satin ribbon ties at the neckline.
280,Sophisticat Boyshort,The Essential Leopard Print
281,5 Pack Low Rise Thongs,Your favorite basic colored thongs - packaged together.
282,Lady Catherine Silk Chemise,You'll look like a princess in Lady Catherine.
283,Bermuda Nights V-Front Boyshort,Tropical brights.
284,Sophisticat *Plus Size* Retro V-Kini,The Essential Leopard Print
285,Logo to Go Modal Original Rise Thong,The Name on Everyone's Hips®.
286,Serpentine Valerie Bralette,Slithering Snake. Soft lined bralette with plunging neckline.
287,Rolled Fiery Floral Low Rise Thong,Red hot!
288,Naughty & Nice Box 2 Pack Thongs,"Sugar, spice and everything oh-so-nice, this pairing is a match made in heaven. Inside the saucy gift box are two of our most sought-out styles for your favorite happy couple to enjoy: A Low Rise Thong and a Crotchless Thong with a scintillating opening that leaves little to the imagination. Time to pack in the pleasure! "
289,Organic Cotton Scoopneck Tank,"Classic tank in our lightweight stretch jersey made from ultra-premium Supima® cotton, organically-grown in the USA, blended with a touch of spandex for a perfect fit."
290,Sophia Lace Bralette,Wisdom & Beauty
291,Zip Me Down Bodysuit,Zip it good
292,Rolled Signature Lace *Petite Size* Low Rise Thong,A must-have for every woman's lingerie drawer.
293,Star Spangled Boyshort,Starry eyed.
294,8-Day Pack Low Rise Thongs,"The perfect pack for your next getaway! Travel in style with this clear vinyl case that opens to reveal eight pouches, each of which holds a uniquely rolled Signature Lace low rise thong."
295,Illusion Brazilian Bikini,Delicate lace appliqués appear to float on skin.
296,"3 Pack of BARE ""Godiva"" Hi-Rise Thongs",Truly-- what to wear when you want to look BARE®.
297,Anna Bralette,"Our newest active-inspired collection can take you from barre to brunch, and everywhere in-between. "
298,Heather Jersey Kimono Robe,Stay cozy in Heather.
299,Mesh Bow Triangle Bralette,Spot on in our in airy stretch mesh.
300,40th Anniversary Cotton Sleep Set,"It all started as a gift…In 1977 designer Gale Epstein created and bra and panty set out of hand-embroidered handkerchiefs as a birthday gift for her friend, Lida Orzeck. Inspired by this ingenious concept, the friends became business partners and named their new company after the original design, Hanky Panky. "
301,3 Pack Retro Lace Thong,"A coordinating three pack of our Retro Lace Thongs, packaged and ready to go. All gift-giving should be this easy!  "
302,Phoebe Leg Garter,The Phoebe Leg Garter is a wedding day essential.
303,Signature Lace G-String,"For those who want to venture ""beyond the thong"", the Hanky Panky G-String is a great alternative."
304,Leopard Nouveau *Plus Size* V-neck Chemise,You'll want to be spotted in Leopard Nouveau.
305,Lady Catherine Robe,You'll look like a princess in Lady Catherine.
306,Classic Mesh Boyshort,Classic silhouettes in airy stretch mesh.
307,"Silky 21"" A-line Half Slip","Hanky Panky Silky is the ideal fabric for underpinnings. Made from a naturally hydrophilic filament rayon Lycra® spandex blend, it resists generating static, as compared to synthetic fibers."
308,Alexandra Keyhole Brazilian Bikini,For the love of lace.
309,Signature Lace *Plus Size* Crotchless Teddy,Sultry crotchless thong-back teddy with functional satin ribbon ties at the neckline.  
310,Pearl Leg Garter with Gift Box,Elegance in pearls.
311,Bride Original Rise Thong,"You're only a bride for so long -- make it count! Show off the B-word on an original rise thong bearing sparkly, flirty cursive."
312,Aloha Betty Brief,Holiday in Hawaii.
313,Anna Two-Tone Thong,"Our newest active-inspired collection can take you from barre to brunch, and everywhere in-between."
314,Lace Up Bralette,All tied-up.
